시도교육청,교육지원청,학교명,설립구분,1학년,2학년,3학년,4학년,5학년,6학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수,작은학교여부,지역(시),지역(구)
서울특별시교육청,서울특별시동작관악교육지원청,서울미성초등학교,공립,5,5,6,5,5,6,2,0,34,651,19.1,0,서울특별시,관악구
서울특별시교육청,서울특별시동작관악교육지원청,서울본동초등학교,공립,2,2,1,1,1,1,1,0,9,103,11.4,0,서울특별시,동작구
서울특별시교육청,서울특별시동작관악교육지원청,서울봉천초등학교,공립,5,5,5,5,5,6,2,0,33,625,18.9,0,서울특별시,관악구
서울특별시교육청,서울특별시동작관악교육지원청,서울사당초등학교,공립,4,4,5,5,4,4,2,0,28,489,17.5,0,서울특별시,관악구
서울특별시교육청,서울특별시동작관악교육지원청,서울삼성초등학교,공립,2,2,2,2,4,3,1,0,16,292,18.3,0,서울특별시,관악구
서울특별시교육청,서울특별시동작관악교육지원청,서울상도초등학교,공립,6,6,6,6,6,7,2,0,39,734,18.8,0,서울특별시,동작구
서울특별시교육청,서울특별시동작관악교육지원청,서울신길초등학교,공립,6,5,7,7,7,9,2,0,43,877,20.4,0,서울특별시,동작구
서울특별시교육청,서울특별시동작관악교육지원청,서울신남성초등학교,공립,4,4,4,4,3,3,1,0,23,472,20.5,0,서울특별시,동작구
서울특별시교육청,서울특별시동작관악교육지원청,서울신림초등학교,공립,4,3,4,4,5,4,2,0,26,475,18.3,0,서울특별시,관악구
서울특별시교육청,서울특별시동작관악교육지원청,서울신봉초등학교,공립,2,2,2,2,2,3,2,0,15,256,17.1,0,서울특별시,관악구
서울특별시교육청,서울특별시동작관악교육지원청,서울신상도초등학교,공립,9,9,10,9,9,10,2,0,58,1351,23.3,0,서울특별시,동작구
서울특별시교육청,서울특별시동작관악교육지원청,서울신성초등학교,공립,4,3,4,4,4,4,2,0,25,454,18.2,0,서울특별시,관악구
서울특별시교육청,서울특별시동작관악교육지원청,서울신우초등학교,공립,2,2,2,2,3,3,1,0,15,275,18.3,0,서울특별시,관악구
서울특별시교육청,서울특별시동작관악교육지원청,서울영본초등학교,공립,5,5,6,5,7,6,1,0,35,699,20.0,0,서울특별시,동작구
