,지역,토지면적(km),전남지역 구성비(%),행정구역(시+군),행정구역(시),행정구역(군),행정구역(읍+면+동),행정구역(읍),행정구역(면),행정구역(동)_행정,행정구역_(동)_법정,출생(남+여)(시군구별),출생(남)(시군구별),출생(여)(시군구별),출생(남+여)(시군구별).1,출생(남)(시군구별).1,출생(여)(시군구별).1,혼인(시군구별),이혼(시군구별),65세 이상 고령자 수(시군구별),평균연령(세)(시군구별),인구밀도(1/m2)(시군구별),한국인등록인구(시군구별),외국인등록인구(시군구별),등록인구총합(시군구별),"출판, 영상, 방송통신 및 정보서비스업(사업체수)",금융 및 보험업(사업체수),부동산업 및 임대업(사업체수),"전문, 과학 및 기술 서비스업(사업체수)",사업시설관리 및 사업지원 서비스업(사업체수),"공공행정, 국방 및 사회보장행정(사업체수)",교육서비스업(사업체수),보건업 및 사회복지 서비스업(사업체수),"예술, 스포츠 및 여가 관련 서비스업(사업체수)","협회 및 단체, 수리 및 기타 개인서비스업(사업체수)","출판, 영상, 방송통신 및 정보서비스업(종사자수)",금융 및 보험업(종사자수),부동산업 및 임대업(종사자수),"전문, 과학 및 기술 서비스업(종사자수)",사업시설관리 및 사업지원 서비스업(종사자수),"공공행정, 국방 및 사회보장행정(종사자수)",교육서비스업(종사자수),보건업 및 사회복지 서비스업(종사자수),"예술, 스포츠 및 여가 관련 서비스업(종사자수)","협회 및 단체, 수리 및 기타 개인서비스업(종사자수)",일시수용능력인원(사설학원),강사수(사설학원),강의실수(사설학원),직업기술(평생직업 교육학원 학원수),국제화(평생직업 교육학원 학원수),인문사회(평생직업 교육학원 학원수),기예(평생직업 교육학원 학원수),종합(평생직업 교육학원 학원수),합계(평생직업 교육학원 학원수),입시검정및보습(학교교과 교습학원 학원수),국제화(학교교과 교습학원 학원수),예능(학교교과 교습학원 학원수),특수교육(학교교과 교습학원 학원수),종합(학교교과 교습학원 학원수),정보(학교교과 교습학원 학원수),기타(학교교과 교습학원 학원수),합계(학교교과 교습학원 학원수),작은학교 수,전지(논)(km^2),답지(쌀캐는 땅)(km^2),과수원(km^2),목장용지(km^2),임  야(km^2),광천지(km^2),염  전(km^2),대  지(km^2),공장용지(km^2),학교용지(km^2),주차장(km^2),주유소용지(km^2),창고용지(km^2),도  로(km^2),철도용지(km^2),제  방(km^2),하  천(km^2),구  거(km^2),유  지(km^2),양어장(km^2),수도용지(km^2),공  원(km^2),체육용지(km^2),유원지(km^2),종교용지(km^2),사적지(km^2),묘  지(km^2),잡종지(km^2)
10,화순군,787,6,1,0,1,13,1,12,0,0,213,124,89,714,341,373,184,115,18185,51,79,61254,1022,62276,62,46,208,190,131,55,241,265,161,652,178,380,478,1263,473,1551,1545,5623,906,1017,2741,129,328,4,0,0,1,0,5,44,2,18,0,1,0,1,66,11,47.507943,70.105749,1.677726,1.895611,574.5336,0.000363,0.0,13.374977,1.759879,0.920597,0.134273,0.05288,0.542508,19.12279,0.835637,1.28877,15.529639,14.222435,14.171241,0.110483,0.679516,0.347573,2.084776,0.101239,0.267373,0.00092,2.609415,3.292236
11,장흥군,622,5,1,0,1,10,3,7,0,0,137,73,64,596,303,293,91,74,13264,55,57,35046,634,35680,20,46,67,92,59,55,127,159,84,626,97,404,148,354,109,2190,954,1827,265,853,912,49,73,1,0,0,0,0,1,15,3,4,0,1,0,2,25,11,33.306317,95.536487,0.834851,3.334083,401.09865,0.0,9.3e-05,11.792957,1.864054,0.607352,0.096031,0.032355,0.597146,20.943204,0.005875,2.416083,14.053871,10.868113,18.010525,0.242651,0.357953,0.57777,1.110665,0.159547,0.20612,0.005863,1.663163,2.653851
12,강진군,501,4,1,0,1,11,1,10,0,0,156,85,71,551,242,309,88,73,12505,55,66,32722,570,33292,28,39,49,66,65,48,124,145,93,527,137,457,69,331,156,1561,1025,1857,376,689,821,47,93,0,0,0,0,0,0,15,3,9,0,0,0,0,27,12,30.284075,107.489884,0.741988,3.096569,286.711521,0.0,0.000425,11.218202,1.23882,0.844164,0.066485,0.035161,0.525456,17.9786,0.0,1.588917,10.335515,12.453372,9.610895,0.3922,0.376508,0.152079,0.200945,0.05777,0.182414,0.014817,1.262372,4.038505
13,해남군,1045,8,1,0,1,14,1,13,0,0,258,126,132,1057,503,554,177,140,23293,54,64,64575,2286,66861,33,72,102,133,142,62,218,256,119,886,217,813,223,448,291,2598,1537,3411,541,1405,2238,117,180,5,0,0,3,0,8,36,1,15,0,2,0,1,55,16,122.973349,233.683043,1.215634,7.368941,442.928744,0.0,1.595814,20.487718,1.258421,1.339339,0.286465,0.088713,1.501598,41.328169,0.0,1.869903,11.147118,33.134731,81.841415,0.998888,0.629952,3.137309,1.639718,0.359164,0.37295,0.822751,3.593368,29.529426
14,영암군,612,5,1,0,1,11,2,9,0,0,187,94,93,650,343,307,179,126,15298,51,99,52350,8221,60571,44,48,79,156,140,41,169,221,114,551,320,441,202,762,676,2017,1762,2455,584,776,1853,98,209,2,0,0,0,0,2,24,3,12,0,6,0,1,46,12,60.413504,158.468217,4.297922,7.770422,225.238689,0.0,0.65414,14.925928,9.281867,1.003599,0.637853,0.107878,1.075392,28.572604,0.002424,1.106698,25.888839,23.840383,20.725922,0.320275,0.835357,2.631947,2.668078,0.212625,0.282195,2.380838,1.142803,17.944098
15,무안군,451,4,1,0,1,9,3,6,0,0,472,237,235,849,442,407,341,165,19000,45,205,90296,2083,92379,43,88,333,207,119,52,498,300,212,884,195,1076,931,1115,660,5238,4201,4040,1041,1415,9644,635,923,4,0,1,7,1,13,125,28,57,0,14,0,13,237,10,92.839983,86.387412,0.324716,10.090954,147.763383,0.0,1.281585,15.518825,1.619564,1.440749,0.239113,0.053148,0.831432,24.198649,1.076056,1.273283,17.862251,11.332807,13.088962,0.246002,1.042182,1.337924,1.98495,0.175055,0.224692,0.0,0.910137,17.796169
16,함평군,392,3,1,0,1,9,1,8,0,0,100,41,59,470,209,261,66,51,12326,57,81,30601,971,31572,31,29,47,73,63,34,94,150,59,397,109,214,65,207,225,1341,896,1843,357,514,404,30,52,0,0,0,0,0,0,5,0,6,0,1,0,0,12,9,47.659082,88.020399,0.638266,3.180961,180.967524,0.0,0.0,12.427324,1.942601,0.833718,0.078818,0.031156,0.630525,19.028789,0.607112,1.605632,10.611976,10.756997,5.518348,0.275791,1.161973,0.508818,1.873102,0.414152,0.160633,0.0,0.368922,2.795062
17,영광군,475,4,1,0,1,11,3,8,0,0,362,180,182,782,407,375,175,87,16281,51,111,51750,1121,52871,35,49,90,120,112,48,185,212,96,586,131,419,171,600,815,1260,1261,2595,287,798,3749,159,312,2,0,0,0,0,2,49,3,17,0,1,0,0,70,9,59.877641,112.704898,0.604318,3.296605,206.395988,0.0,4.797878,14.36348,5.152168,1.02344,0.107834,0.048633,0.504721,20.603459,0.0,1.643858,10.690399,13.015378,8.199707,1.885883,0.642651,0.397731,1.297991,0.015532,0.178169,0.004864,0.594359,6.497966
18,장성군,518,4,1,0,1,11,1,10,0,0,172,87,85,595,312,283,123,85,14143,53,84,42543,1135,43678,35,30,145,122,113,35,118,139,87,407,142,337,238,437,375,1639,1066,1447,330,855,1272,64,129,0,0,1,0,0,1,19,4,8,0,1,0,0,32,6,34.300925,77.635729,2.828069,1.388607,315.905315,0.0,0.0,12.144379,3.212585,0.686617,0.192265,0.047408,0.69203,20.493786,1.119446,1.026112,10.892293,12.05187,11.300339,0.042083,0.177174,0.300023,0.850199,0.191629,0.196656,0.062684,1.321699,9.287077
19,완도군,397,3,1,0,1,12,3,9,0,0,145,78,67,724,352,372,146,116,16776,54,127,46641,3907,50548,37,59,52,69,96,69,176,163,115,603,165,733,85,208,164,2154,1308,1594,362,782,1547,71,165,3,0,0,1,0,4,18,3,13,0,2,0,0,36,15,52.852753,34.962706,1.10401,1.778485,258.089414,0.0,0.608949,10.55385,0.567732,1.038629,0.061591,0.015066,0.352575,13.891277,0.0,0.687961,1.085268,4.220234,4.992872,2.159461,0.666646,0.101278,0.177686,0.00575,0.134703,0.016108,1.367249,5.375876
20,진도군,440,4,1,0,1,7,1,6,0,0,81,41,40,480,245,235,76,63,10679,54,71,28979,2070,31049,20,32,41,48,52,40,99,121,104,481,116,304,60,147,111,1294,774,1072,333,609,963,41,95,0,0,0,0,0,0,14,2,8,0,0,1,0,25,12,54.797124,72.010221,0.659439,0.479581,252.049905,0.0,0.268704,8.137634,0.546309,0.692779,0.083005,0.020153,0.451561,16.090409,0.0,0.914212,3.865902,8.727098,13.293791,0.868249,0.082126,0.149846,0.212352,0.066216,0.126651,0.007365,1.675453,3.834734
21,신안군,656,5,1,0,1,14,2,12,0,0,102,45,57,682,353,329,95,89,14914,57,60,38037,1210,39247,32,28,246,38,61,86,88,145,56,376,161,251,272,279,136,2269,883,1314,173,483,198,11,21,0,0,0,0,0,0,2,0,3,0,1,0,0,6,19,107.544807,102.438427,0.151938,5.320448,324.982612,0.0,35.588026,11.438007,0.522488,1.053265,0.136559,0.010425,0.628038,15.308525,0.0,2.18592,0.014141,18.43434,12.803658,1.550208,0.216939,0.055533,0.204941,0.062573,0.142806,0.0,1.983443,13.078873
